"","company","tikr","price"
"3321","International Seaways, Inc.","INSW",15.22
"3322","International Paper Co.","IP",48.87
"3323","Intra-Cellular Therapies, Inc.","ITCI",42.96
"3324","News Corp.","NWSA",22.49
"3325","Millicom International Cellular SA","TIGO",29.04
"3326","Nano-X Imaging Ltd.","NNOX",12.97
"3327","New York City REIT, Inc.","NYC",10.92
"3328","Jupai Holdings Ltd.","JP",0.94
"3329","Masonite International Corp.","DOOR",110.41
"3330","MIND C.T.I. Ltd.","MNDO",3.07
"3331","Lattice Semiconductor Corp.","LSCC",68.76
"3332","Momentive Global Inc","MNTV",19.9
"3333","Minerva Neurosciences, Inc.","NERV",0.85
"3334","New Gold, Inc.","NGD",1.49
"3335","KemPharm, Inc.","KMPH",8.64
"3336","International Tower Hill Mines Ltd.","THM",0.74
"3337","Nam Tai Property, Inc.","NTP",11.08
"3338","Lipocine, Inc.","LPCN",1.04
"3339","Marathon Oil Corp.","MRO",18.25
"3340","LightPath Technologies, Inc.","LPTH",2.36
"3341","J.Jill, Inc.","JILL",19.01
"3342","Nautilus, Inc.","NLS",5.95
"3343","Infinity Pharmaceuticals, Inc.","INFI",1.5
"3344","Matador Resources Co.","MTDR",41.23
"3345","MFA Financial, Inc.","MFA",4.62
"3346","Kyndryl Holdings, Inc.","KD",17.8
"3347","Madison Square Garden Entertainment Corp - Ordinary Shares - Class A","MSGE",72.45
"3348","Meta Platforms, Inc.","FB",331.67
"3349","Meta Materials, Inc.","MMAT",2.44
"3350","Jazz Pharmaceuticals Plc","JAZZ",134.47
"3351","National Grid Plc","NGG",71.59
"3352","JFrog Ltd.","FROG",28.08
"3353","Innate Pharma SA","IPHA",4.53
"3354","NexPoint Residential Trust, Inc.","NXRT",79.14
"3355","Melco Resorts & Entertainment Ltd.","MLCO",9.71
"3356","Immersion Corp.","IMMR",5.33
"3357","Micron Technology, Inc.","MU",94.46
"3358","Keurig Dr Pepper, Inc.","KDP",37.31
"3359","Johnson & Johnson","JNJ",173.97
"3360","MGIC Investment Corp.","MTG",15.61
"3361","Lions Gate Entertainment Corp.","LGF/A",17.49
"3362","LendingClub Corp.","LC",22.43
"3363","Iron Mountain, Inc.","IRM",46.78
"3364","Nabors Industries Ltd.","NBR",94.75
"3365","NextEra Energy, Inc.","NEE",86.4
"3366","National Storage Affiliates Trust","NSA",64.31
"3367","New Residential Investment Corp.","NRZ",10.88
"3368","Kinder Morgan, Inc.","KMI",17.27
"3369","Liberty Broadband Corp.","LBRDK",151.95
"3370","IsoRay, Inc.","ISR",0.38
"3371","iQIYI, Inc.","IQ",4.43
"3372","Lamar Advertising Co.","LAMR",116.35
"3373","Liberty TripAdvisor Holdings, Inc.","LTRPA",2.35
"3374","Invitation Homes, Inc.","INVH",42.92
"3375","Mondelez International, Inc.","MDLZ",67.55
"3376","Innoviz Technologies Ltd.","INVZ",5.22
"3377","Lyft, Inc.","LYFT",43.1
"3378","Marathon Petroleum Corp.","MPC",70.92
"3379","Lennar Corp.","LEN",102.95
"3380","Mimecast Ltd.","MIME",79.09
"3381","Noah Holdings Ltd.","NOAH",28.75
"3382","Ituran Location & Control Ltd.","ITRN",25.92
"3383","MP Materials Corp.","MP",45.52
"3384","Lockheed Martin Corp.","LMT",360.24
"3385","Natural Health Trends Corp.","NHTC",7.23
"3386","Moleculin Biotech, Inc.","MBRX",1.81
"3387","MDU Resources Group, Inc.","MDU",31.48
"3388","Lexaria Bioscience Corp.","LEXX",4.37
"3389","Liberty Oilfield Services, Inc.","LBRT",12.15
"3390","LXP Industrial Trust","LXP",14.41
"3391","Marsh & McLennan Cos., Inc.","MMC",163.83
"3392","Kintara Therapeutics, Inc.","KTRA",0.52
"3393","Lannett Co., Inc.","LCI",1.65
"3394","Lincoln National Corp.","LNC",73.07
"3395","Liberty Latin America Ltd.","LILAK",11.55
"3396","Kamada Ltd.","KMDA",6.54
"3397","MingZhu Logistics Holdings Ltd.","YGMZ",1.68
"3398","Invesco Ltd.","IVZ",24.54
"3399","Imperial Oil Ltd.","IMO",38.44
"3400","Indus Realty Trust, Inc.","INDT",80.49
"3401","Integra Resources Corp.","ITRG",2.12
"3402","Lucid Group Inc","LCID",41.99
"3403","Marcus Corp.","MCS",17.54
"3404","Illumina, Inc.","ILMN",370.02
"3405","Leap Therapeutics, Inc.","LPTX",2.88
"3406","MaxLinear, Inc.","MXL",65.28
"3407","MicroVision, Inc.","MVIS",4.28
"3408","IRSA Propiedades Comerciales SA","IRCP",2.18
"3409","Infinera Corp.","INFN",9.07
"3410","Newell Brands, Inc.","NWL",23.14
"3411","McEwen Mining, Inc.","MUX",0.9
"3412","NeoPhotonics Corp.","NPTN",15.17
"3413","Medtronic Plc","MDT",105.15
"3414","NCR Corp.","NCR",41.51
"3415","Liquidia Corp.","LQDA",6.22
"3416","Neovasc, Inc.","NVCN",0.47
"3417","Luxfer Holdings Plc","LXFR",19.03
"3418","New Concept Energy, Inc.","GBR",2.55
"3419","iStar, Inc.","STAR",24.63
"3420","Nordic American Tankers Ltd.","NAT",1.78
"3421","Neuronetics, Inc.","STIM",3.76
"3422","Mr. Cooper Group, Inc.","COOP",42.02
"3423","Meritage Homes Corp.","MTH",106.45
"3424","NIO, Inc - ADR","NIO",29.32
"3425","National Retail Properties, Inc.","NNN",47.91
"3426","Magnite, Inc.","MGNI",15.41
"3427","Immutep Ltd.","IMMP",3.32
"3428","Invitae Corp.","NVTA",12.55
"3429","Kimco Realty Corp.","KIM",24.75
"3430","Natuzzi SpA","NTZ",15.24
"3431","Natura &Co Holding SA","NTCO",7.85
"3432","Newmark Group, Inc.","NMRK",16.79
"3433","Louisiana-Pacific Corp.","LPX",73.31
"3434","McDonald's Corp.","MCD",267.04
"3435","IT Tech Packaging, Inc.","ITP",0.23
"3436","Itaú Unibanco Holding SA","ITUB",3.98
"3437","Nisun International Enterprise Development Group Co., Ltd.","NISN",2.7
"3438","New Pacific Metals Corp.","NEWP",2.59
"3439","International Business Machines Corp.","IBM",134.8
"3440","Matinas BioPharma Holdings, Inc.","MTNB",0.95
"3441","Kellogg Co.","K",66.61
"3442","Microsoft Corp.","MSFT",314
"3443","International Flavors & Fragrances, Inc.","IFF",141.95
"3444","LM Funding America, Inc.","LMFA",4.6
"3445","Lowe's Cos., Inc.","LOW",251.1
"3446","JPMorgan Chase & Co.","JPM",167.2
"3447","Lument Finance Trust, Inc.","LFT",3.69
"3448","Neonode, Inc.","NEON",7.7
"3449","Lordstown Motors Corp.","RIDE",3.29
"3450","Newpark Resources, Inc.","NR",3.34
"3451","Integrated Media Technology Ltd.","IMTE",5.1
"3452","Mereo BioPharma Group Plc","MREO",1.38
"3453","Jumia Technologies AG","JMIA",10.29
"3454","Nomura Holdings, Inc.","NMR",4.54
"3455","Niu Technologies","NIU",16.43
"3456","MongoDB, Inc.","MDB",429.92
"3457","MacroGenics, Inc.","MGNX",14.77
"3458","Life Storage, Inc.","LSI",139.16
"3459","Interactive Brokers Group, Inc.","IBKR",77.22
"3460","ING Groep NV","ING",14.88
"3461","McKesson Corp.","MCK",249.94
"3462","Ziff Davis Inc","ZD",106.93
"3463","Macquarie Infrastructure Corp.","MIC",3.63
"3464","New Oriental Education & Technology Group, Inc.","EDU",1.85
"3465","NetApp, Inc.","NTAP",92.25
"3466","KBR, Inc.","KBR",46.67
"3467","MorphoSys AG","MOR",8.65
"3468","Infrastructure & Energy Alternatives, Inc.","IEA",9.67
"3469","Immunovant, Inc.","IMVT",7.99
"3470","LKQ Corp.","LKQ",58.27
"3471","L.B. Foster Co.","FSTR",13.9
"3472","KLA Corp.","KLAC",416.73
"3473","Ingredion, Inc.","INGR",99.52
"3474","Industrias Bachoco SAB de CV","IBA",41.97
"3475","LTC Properties, Inc.","LTC",35.81
"3476","Innovative Industrial Properties, Inc.","IIPR",222.68
"3477","LivePerson, Inc.","LPSN",32.52
"3478","Moody's Corp.","MCO",372.31
"3479","Jack Henry & Associates, Inc.","JKHY",169.75
"3480","Laureate Education, Inc.","LAUR",12.15
"3481","NeoGenomics, Inc.","NEO",28.02
"3482","IMV, Inc.","IMV",1.32
"3483","LightInTheBox Holding Co., Ltd.","LITB",1.03
"3484","Inseego Corp.","INSG",5.22
"3485","Lion Group Holding Ltd.","LGHL",1.33
"3486","Meat-Tech 3D Ltd - ADR","MITC",6
"3487","nCino, Inc.","NCNO",50.78
"3488","Knight-Swift Transportation Holdings, Inc.","KNX",58.54
"3489","Liberty Global Plc","LBTYK",27.72
"3490","Marrone Bio Innovations, Inc.","MBII",0.76
"3491","Navios Maritime Holdings, Inc.","NM",3.7
"3492","Jewett-Cameron Trading Co. Ltd.","JCTCF",8.43
"3493","Immunome, Inc.","IMNM",11.88
"3494","MRC Global, Inc.","MRC",7.63
"3495","Masco Corp.","MAS",67.06
"3496","NetEase, Inc.","NTES",99.72
"3497","LivaNova Plc","LIVN",82.54
"3498","KE Holdings, Inc.","BEKE",20.86
"3499","Li Auto, Inc.","LI",29.21
"3500","NeuroBo Pharmaceuticals, Inc.","NRBO",1.5
"3501","Ironwood Pharmaceuticals, Inc.","IRWD",11.81
"3502","Nomad Foods Ltd.","NOMD",26.4
"3503","Milestone Scientific, Inc.","MLSS",2.09
"3504","Ingersoll Rand, Inc.","IR",59.27
"3505","Mustang Bio, Inc.","MBIO",1.62
"3506","Natera, Inc.","NTRA",75.17
"3507","Infobird Co. Ltd.","IFBD",1.22
"3508","Luminar Technologies, Inc.","LAZR",15.76
"3509","McCormick & Co., Inc.","MKC",96.07
"3510","Jones Lang LaSalle, Inc.","JLL",257.6
"3511","New York Mortgage Trust, Inc.","NYMT",3.81
"3512","MSCI, Inc.","MSCI",551.93
"3513","IVERIC bio, Inc.","ISEE",14
"3514","NexTier Oilfield Solutions, Inc.","NEX",5.48
"3515","Kinross Gold Corp.","KGC",5.44
"3516","lululemon athletica, Inc.","LULU",355.12
"3517","Janus Henderson Group Plc","JHG",42.85
"3518","Moelis & Co.","MC",62.46
"3519","JX Luxventure Limited","LLL",2.27
"3520","Lear Corp.","LEA",187.27
"3521","KKR & Co., Inc.","KKR",69.48
"3522","Kornit Digital Ltd.","KRNT",128.66
"3523","Kura Oncology, Inc.","KURA",12.91
"3524","Jaguar Health, Inc.","JAGX",0.94
"3525","Membership Collective Group, Inc.","MCG",11.33
"3526","Marriott International, Inc.","MAR",166.72
"3527","NatWest Group Plc","NWG",6.7
"3528","Jiuzi Holdings, Inc.","JZXN",1.39
"3529","Insmed, Inc.","INSM",25.79
"3530","Molson Coors Beverage Co.","TAP",50.64
"3531","Immatics NV","IMTX",11.98
"3532","Liberty Latin America Ltd.","LILA",11.75
"3533","Mercury Systems, Inc.","MRCY",56.38
"3534","Inpixon","INPX",0.54
"3535","Koss Corp.","KOSS",10.69
"3536","Kopin Corp.","KOPN",3.6
"3537","Lexinfintech Holdings Ltd.","LX",3.61
"3538","KeyCorp","KEY",26.35
"3539","JetBlue Airways Corp.","JBLU",15.1
"3540","Intuitive Surgical, Inc.","ISRG",324.18
"3541","Neurocrine Biosciences, Inc.","NBIX",75.27
"3542","Marin Software, Inc.","MRIN",4.53
"3543","MannKind Corp.","MNKD",4.08
"3544","NIKE, Inc.","NKE",156.97
"3545","NanoString Technologies, Inc.","NSTG",34.22
"3546","Lam Research Corp.","LRCX",668.84
"3547","Mersana Therapeutics, Inc.","MRSN",6.27
"3548","KalVista Pharmaceuticals, Inc.","KALV",12.95
"3549","iRhythm Technologies, Inc.","IRTC",101.97
"3550","National CineMedia, Inc.","NCMI",2.84
"3551","KAR Auction Services, Inc.","KAR",16.7
"3552","M&T Bank Corp.","MTB",176.95
"3553","Mid-America Apartment Communities, Inc.","MAA",216.42
"3554","Kratos Defense & Security Solutions, Inc.","KTOS",18.51
"3555","Ligand Pharmaceuticals, Inc.","LGND",144.3
"3556","LyondellBasell Industries NV","LYB",97.59
"3557","Live Nation Entertainment, Inc.","LYV",115.93
"3558","ImmunoPrecise Antibodies Ltd.","IPA",6.22
"3559","LAVA Therapeutics NV","LVTX",5.9
"3560","Kosmos Energy Ltd.","KOS",4.33
"3561","Nektar Therapeutics","NKTR",12.68
"3562","Macy's, Inc.","M",26.36
"3563","NeoGames SA","NGMS",26.59
"3564","MarineMax, Inc.","HZO",56.5
"3565","Lineage Cell Therapeutics, Inc.","LCTX",1.98
"3566","Inuvo, Inc.","INUV",0.49
"3567","Jabil, Inc.","JBL",69.39
"3568","Myovant Sciences Ltd.","MYOV",13.86
"3569","Veris Residential Inc","VRE",19.48
"3570","Kirkland Lake Gold Ltd.","KL",39.52
"3571","New Relic, Inc.","NEWR",101.95
"3572","MYT Netherlands Parent BV","MYTE",18.66
"3573","Intuit, Inc.","INTU",567.45
"3574","La-Z-Boy, Inc.","LZB",36.1
"3575","Kiniksa Pharmaceuticals Ltd.","KNSA",10.98
"3576","New York Community Bancorp, Inc.","NYCB",13.14
"3577","MoneyGram International, Inc.","MGI",7.55
"3578","HashiCorp Inc - Ordinary Shares - Class A","HCP",71.83
"3579","Qutoutiao, Inc.","QTT",2.55
"3580","Fresh Vine Wine Inc","VINE",4.59
"3581","Samsara Inc - Ordinary Shares - Class A","IOT",23.26
"3582","Petróleo Brasileiro SA","PBR/A",9.97
"3583","Cinedigm Corp.","CIDM",1.11
